index,RegionName,State,Metro,CountyName,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09
5487,La Center,WA,Portland,Clark,5488,291950,284500,272450,269900,272450,269900,269900,275000,299950,269000,241000,242450,240000,254499.5,259000,264950,267400,275000,275000,280200,285000,289500,272450,259900,278500,285000,295000,287450,275000,269900,272450,275000,277450,275000,277500,289000,296025,279900,280000,299450,302450,327450,329900,324900,339900,339450,315600,300000,324747.5,340000,379900,369500,325000,325000,319900,309000,316950,323950,334000,302500,315000,345000,322450,339900,322400,324950,314900,309900,309900,339950,340000,339950,347450,350000,394050,402450,389900,389900,410000,414950,429000,429900,429450,467000,447450,415000,425000,425000,419900,419900,419950,429000,432400
5488,Baker City,OR,,Baker,5489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159000,159000,159000,159000,149900,149900,154250,149950,149900,149950,143900,148950,141950,139200,137700,135250,135000,135000,139900,132400,132400,128950,129900,125000,125000,120000,119500,115000,117250,115000,115000,124900,115000,134800,149900,142000,146900,149000,146200,139900,136500,133950,124500,129000,127000,129450,139700,146250,148250,139500,146500,142000,148700
5489,Lakeside,AZ,Show Low,Navajo,5489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179000,196500,199900,209900,219850,219850,208925,219850,217000,231000,230000,219950,221250,219900,220000,217000,199000,195900,199000,197450,199900,199900,199450,212450,219000,229900,237000,234900,229000,234950,239000,249900,255000,241200,259950,262500,235425,240550,254900,265000,264950,259900,259900,254900,254900,252450,254900,249900,249000,264900,283000,274500,270000,267425,277500
5490,Woodbourne-Hyde Park,OH,Dayton,Montgomery,5491,199000,179950,196450,199900,204900,194450,189350,185000,170900,165000,154900,149900,140450,141950,154900,149900,152450,170900,169900,168900,169900,175000,169900,162200,164700,171900,194700,172200,182445,194990,194990,184900,184450,187445,209990,199900,196990,198990,219445,216990,219900,219900,207450,202500,213900,210170,219900,214900,214900,199500,207900,215000,216000,219900,219900,232400,239900,229900,231900,235900,230900,227250,213450,209900,214950,212400,224900,217450,239900,234950,234950,212450,214900,217050,229900,231450,224900,230000,239499,250000,259900,259900,226450,258950,269900,247400,249900,279900,270000,279000,277200,283750,276200
5491,Winnebago,IL,Rockford,Winnebago,5492,178750,184500,180200,169500,175492.5,165000,169900,169900,184900,185000,192802,189900,192622,179400,167000,171200,168700,172400,169000,169000,168500,167500,164900,159450,149900,160850,164900,149900,155900,155950,154000,168450,164900,157400,148400,164900,155900,168000,164900,164950,167950,166450,162700,158250,168900,164900,164900,149900,149900,149900,154900,160900,154900,154900,153900,149900,147000,140000,140000,139900,143400,139900,142325,149900,160000,162450,149900,148200,149949.5,150000,149900,149900,154900,146000,145000,148450,149000,144900,144900,146200,147900,150000,149000,148450,154000,148450,151450,134900,146450,149450,149900,156000,168950
5492,Ponce Inlet,FL,Daytona Beach,Volusia,5493,349950,356500,359450,349900,324900,324950,349000,317400,309900,339450,348900,325000,299450,309950,319900,315000,299900,323000,321500,329850,334375,319900,298750,284900,279950,289900,299000,293950,299600,339500,329900,296550,294000,296000,319900,319450,325000,329900,343850,349000,359000,349950,369450,364500,369000,349900,357000,359000,350000,358000,349950,349825,349900,349000,349900,349700,359900,347000,349900,366700,354450,350000,349000,348900,349700,349900,349500,349900,339900,349900,345000,349900,349000,349900,359000,347500,354250,363450,354700,349500,349900,379000,379450,426450,394000,391637.5,399700,388750,389500,419000,409900,419000,419000
5493,Lincoln,MA,Boston,Middlesex,5494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1299000,1299000,1295000,1295000,1275000,1247000,1249000,1245000,1329450,1495000,1495000,1322000,1234000,1224000,1379000,1299000,1450000,1320000
5494,St Joseph Township,MI,Niles,Berrien,5495,192177.5,184600,184600,194900,194500,184950,183750,182900,184600,177400,174444,174444,169900,169900,168500,169900,165500,168950,168000,165500,157450,150900,150700,157000,159200,169900,159900,159000,159000,157400,154900,154900,145500,142400,149450,143700,142900,149900,149000,149900,154900,166400,167900,169900,169900,168450,167000,149900,149900,149700,157000,159900,179900,164900,164900,164950,164950,179900,164900,159500,169900,175000,189900,199900,199000,169900,194900,200000,199000,195000,219900,189500,189500,172500,182500,199000,217950,210950,189450,199450,199900,199900,192400,189900,179900,179950,194900,207500,210000,219700,209900,196950,203950
5495,Hancock,MI,Houghton,Houghton,5496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99000,98950,99000,89000,95000,87500,87500,82450,82450,81450,86500,89700,92000,92000,92250,90000,95500,90000,90000,90000,86950,86950,89900,95000,97450,97450,99950,102500,109900,102450,102250,109900,115000,109800,125950,119950,136900,124900,119900,123450,127450
5496,Village of Lakewood,IL,Chicago,McHenry,5497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375000,375000,375000,376950,398000,398000,415000,404949.5,397000,386750,399000,399000,402450,425000,422250,399450,398450,404945,399900,394900,399900,399900,385900,384990,383990,375000,373495,369990,369990,379900,386995,399900,399000,380000,379450,379900,379450,399700,404950,400000,400000,399999,396500,399350,399961.5,399700,385000
5497,Waynesboro,TN,,Wayne,5498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131200,121200,125000,125000,131200,141000,142250,152500,152500,145000,139500,139750,142100,140000,139750,139500,126450,128000,127950,127950,135000
5498,Mapleton,UT,Provo,Utah,5499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409900,419900,419900,384450,372800,389450,365000,382400,389900,384900,371150,374950,374950,374950,374950,374950,369900,369900,369900,382900,389900,400000,408400,414950,404900,400450,407950,414000,414000,414000,415000,424999,435000,422400,435000,429900,399900,400000,400000,400000,400000,400000,434000,400000,429900,445000,402995,409990
