index,RegionName,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09
412,"Town of Elmira, NY",412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112700,114999,115000,109900,104250,99900,95950,95900,96000,99700,99900,105000,109900,110950,109900,109000,107900,109900,109900,109900,104900,107500,115000,119000,119900,122500,125200,125400,119900,119000,112900,109900,110950,111900,114900,115450,119000,119000,119900,119900,116000,114450,110450,109900,108850,112500,112900,119900,119900,128000,124000,120000,117900,116500,109900,109900,99999,114950,115000,118900,118900,119000,124250,123250,120000
413,"Meadville, PA",413,105000,105000,105000,109900,114900,115000,114900,115000,115000,114900,118500,119000,115000,116950,119000,112000,114900,115000,112500,114900,112500,109000,106250,105000,99999,99900,108950,112500,111950,114500,114900,109900,109000,109500,105000,109900,112000,109900,109000,106000,109900,109900,109900,99500,98500,98500,94900,97500,98500,99600,97500,102400,104900,99700,110000,115000,114900,114000,114900,114900,109900,108500,109900,115000,114500,115000,114950,114450,110000,109700,109900,109900,105950,104900,107950,105000,110000,109900,110000,109900,109900,109000,109900,110000,110000,111200,113900,109900,115000,119000,119500,119000,116000
414,"Beaver Dam, WI",414,149500,149900,145000,139900,139900,139300,135000,134900,134900,134900,133500,129000,124900,124900,124900,124900,125900,129900,127200,125700,127900,128500,119900,118400,114500,114950,119900,121950,124500,121900,127900,123950,124900,129000,132700,129900,128900,129500,131500,134900,139900,139900,144900,145000,146000,146450,139900,139900,139900,144500,139900,139900,139900,142900,142900,139900,139900,139900,135500,134900,135000,130000,135000,137900,138250,139900,136950,138950,134900,129900,129900,129900,139000,134700,139000,135950,135700,139900,139900,139900,139000,139900,133900,129900,127900,129900,138900,142450,149500,149900,148950,145000,142900
415,"Aberdeen, NC",415,298500,289000,289000,289000,289000,284000,280000,284000,279900,279900,274500,269900,266950,261000,269000,269000,265000,262900,259000,250000,249900,249900,246900,239000,239900,230000,235000,232250,231900,229900,229000,229500,229900,234000,235000,234000,237250,241000,249000,249900,255000,255000,255000,255000,254900,252950,250000,250000,249900,245000,248000,249900,249900,255075,259000,259900,264292,259900,258900,256750,255000,254484,254484,259000,262500,269000,264900,264900,259900,259900,262700,259900,259900,264900,268000,270000,269900,273000,272000,269500,269000,274000,275000,277999,275450,277999,279900,279355.5,279900,283151,289900,289000,289000
416,"Ukiah, CA",416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397950,400000,399000,409000,410000,416000,425000,429000,439000,399450,390000,410000,399950,419000,412000,399000,399000,398950,379500,375000,375000,380000,399000,425000,425000,425000,439000,469500,455000,460000,449000,450000,472500,459061,459000,450000,450000,450000,475000,469000,469000,488500,495000,499000,519000,525000,519500,499000,499000,517200,525000,512500,498000,498000
417,"Hermiston, OR",417,144950,149900,149974.5,149900,149500,149250,157500,158000,159500,157500,154900,149450,146350,147000,148000,145450,149500,154900,152000,159000,156375,154900,154450,150000,149950,149000,149900,149900,149900,150000,150000,149500,150000,149900,159500,163900,162500,164500,155000,154900,162000,159900,168100,168000,166700,165200,164999,164999.5,169900,169850,168900,174950,176450,175900,175000,176000,169900,168975,164950,166750,159900,157000,159000,160000,159900,159900,159900,159900,164500,159900,165000,166400,165000,166000,169000,167250,170950,172750,172900,174900,172000,172000,169950,169900,168750,161920,163450,169000,180450,185000,185000,189449.5,187500
418,"Lufkin, TX",418,130900,139900,141250,139900,147900,144900,143700,139900,139900,136450,134900,137400,139900,136400,139900,149900,149825,149900,144950,141250,144900,139900,143000,144950,149500,143450,142950,149000,149000,149000,139900,140950,144400,144900,149900,149900,156000,154750,159900,157500,154900,154900,156400,159000,167700,165950,161249.5,159974.5,159900,154900,150000,157900,169999.5,169949.5,164900,165000,165000,165555,165000,164500,159000,168500,174750,172500,169900,166110,165555,169900,174900,169500,167000,160950,163500,159000,162500,169000,165000,167000,167000,161250,159900,159900,159900,163200,159000,159700,159900,159900,159900,159950,167000,167750,169900
419,"Zanesville, OH",419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109900,112200,115900,114900,115450,117900,115000,112900,109900,109900,110000,109950,114900,115000,116750,115000,113900,111450,109250,109900,114900,114900,115000,118900,119900,119900,124900,127200,119900,119900,114900,114900,119900,119000,125500,129900,129900,129900,129900,129900,129900,129900,126400,120000,125900,119900,119000,124000,124900,129500,131000,131000,129900,129950,129900
420,"Corvallis, OR",420,267000,259900,259925,259900,264800,269350,269350,273000,279000,274900,269850,268000,264000,262500,260000,259000,259949.5,255000,259000,259000,258000,249900,239500,229000,226500,229978,239000,245000,239900,244900,239900,259900,249700,254925,259900,259900,273860,271500,265000,279900,279900,279900,279900,281950,284825,282500,279000,275000,269900,279900,285000,284850,279000,279500,298750,298600,299000,284200,279000,294900,275000,279925,299000,291950,312000,320000,324000,320000,329000,329500,329500,324950,329000,338000,339900,334950,335000,339000,339950,348000,349900,340000,338900,345000,339900,359900,365000,359950,369900,365000,365000,366500,359900
421,"Bloomsburg, PA",421,152900,162000,159900,157450,159900,155000,160950,162900,164900,165000,164900,164500,158500,155000,164900,159900,164900,164900,168700,164900,149900,149900,154900,156250,149900,149900,149900,159700,154900,149999,154900,145000,144750,139900,149000,149900,147500,149900,150000,159900,168250,159949.5,154950,145000,149450,139900,136950,139900,139900,147000,149900,149900,146500,149900,150000,154900,150000,149900,149900,147000,145000,149500,149900,149900,159000,156900,160950,163500,160950,159900,154900,149900,149900,155750,159000,159900,159900,165000,165000,162000,159900,152700,149900,148500,155000,155250,167000,174900,170000,164900,158500,159800,159900
