index,RegionName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09
1093,Butler,MO,Poplar Bluff,29,23,1094,97500,94900,93500,89900,97200,89900,85500,95000,95000,84900,84900,79900,79900,79900,89900,98400,112950,109950,114200,111900,109900,115000,109900,99900,99900,101900,109900,119500,114900,114900,110000,116125,99900,104900,109900,117250,119900,119900,129900,129900,129900,129900,129900,124900,120950,119900,114950,111000,109900,111000,113400,119900,124900,119900,119900,119900,119900,119900,119900,114900,109900,109950,118500,119900,119900,119900,119900,120000,127950,122450,119900,119900,119900,119900,119900,124700,124900,121000,114950,119900,122850,119900,109950,109900,109900,108700,109900,109900,114900,112000,124900,119900,122000
1094,Burnet,TX,,48,53,1095,249900,250000,247500,239500,239500,238000,237500,239000,245000,239000,242450,237750,234900,225000,230000,245000,249500,249000,230000,229450,239500,230000,234000,215500,199999,202000,199900,207500,199000,209900,195000,195000,198000,199974.5,204900,204700,198000,203450,224250,240000,249000,235900,235000,239450,240000,238000,229900,229900,229000,235422,244950,249000,253950,250000,254950,259000,272200,279000,274900,279000,274900,289000,295000,285000,295000,299000,299450,320000,337950,333500,325000,315000,327500,325000,342000,359900,359450,353000,359000,350000,359000,369000,359750,365000,370660,357000,380000,389475,369000,364949,360000,369450,375000
1095,Muscatine,IA,Muscatine,19,139,1096,,,,,,,,,,,,,109900,118500,129900,129347,133623.5,136450,134950,134500,131950,134950,134500,135000,139450,139900,143000,147900,135000,132700,119900,124900,124000,118750,120900,119900,122900,133750,134450,129900,129900,129950,127900,129900,134900,129925,129972.5,127000,139800,139300,129900,132500,135950,129900,135900,134400,139500,129000,124900,128800,129995,129995,137400,139900,139900,139900,139900,140000,147450,139900,145000,145000,139900,145000,149000,145000,134950,139900,139900,139900,145000,153950,169999,147000,152400,144000,147450,162500,149900,137400,135900,135400,150000
1096,Fulton,OH,Toledo,39,51,1097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104450,99900,99900,104900,110000,109950,115000,119900,124900,136750,129900,129900,127450,129900,129900,128950,124700,124950,124950,119900,123500,120950,119900,122200,116400,119900,119500,118500,119900,124750,123450,124000,124900,120500,121200,120000,119900,115000,116950,120750,129000,129900,129450,134900,125000,126900,125000,124900,124900,129900,141500,142500,139000,134900,129900,128500,129000,129900
1097,Wayne,WV,Huntington,54,99,1098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101900,119450,112000,112000,110000,110000,109000,112000,114500,111000,110000,112000,112000,115000,119250,119950,119900,119450,122500,122450,120000,122500,119000,115000,113000,112000,99900,101250,98000,90000,99000,99000,98500,99450,104950,112000,117500,111300,119351,105000,107250
1098,Gratiot,MI,Alma,26,57,1099,79000,73950,71449.5,70499.5,75000,74950,74000,78450,81900,79900,75500,75000,75000,74900,74900,75000,78900,79900,81950,80950,78900,73500,69900,65000,65000,61600,59900,59900,66000,69000,69000,69900,69450,69900,70000,65000,74900,79000,74950,74900,69900,69900,72250,70000,75000,74900,69900,69900,69900,74000,74900,78900,79900,83200,79900,79950,79900,78850,75000,74900,75000,75000,74950,78900,78450,84700,84900,80000,79900,76900,76900,75500,69900,72500,69900,72500,82900,82900,84000,79950,79900,80000,80000,82000,83500,87000,87900,89000,89700,89000,89900,86900,84900
1099,Bryan,OK,Durant,40,13,1100,124900,123750,119900,121500,125000,124500,124950,127500,129450,130447.5,129900,126400,124500,129000,129250,129500,132450,133000,126500,125000,120000,119450,118500,117950,127500,127500,129900,127700,124700,129000,129000,129000,133000,131500,132250,129900,126250,129000,129000,129900,129950,132500,136900,134000,132500,135000,137700,135000,136000,139250,135500,136000,133900,137250,137500,135000,130500,138000,133450,129949.5,130000,142500,146950,142640,145500,142450,145950,147000,144450,135250,144950,135000,145000,145750,139900,139950,149900,145000,154950,152900,150000,155000,159000,159700,154500,149950,159000,157400,160000,165000,164500,167000,165000
1100,Sequoyah,OK,Fort Smith,40,135,1101,118250,119000,117000,123750,120000,120000,110000,106500,110000,100000,112000,109000,118750,116700,119500,120000,119250,114900,119250,119000,118000,117000,125000,124750,115450,115000,115900,108000,114000,112500,109450,114900,104900,108000,110000,111000,110000,118000,126000,122450,119950,120000,118900,116250,115000,115000,99950,102000,110000,104000,99500,105000,100000,100000,117500,112000,116700,110900,113000,112000,115900,114950,112000,113500,110250,110250,114500,114950,108500,118500,118500,119200,117500,120000,129250,129700,129900,130300,132900,135000,139900,138450,139700,138750,144000,140000,139500,137500,143750,145000,129700,130000,136500
1101,Jackson,IN,Seymour,18,71,1102,105900,99900,98900,95900,99900,99900,99900,99925,109000,99950,99450,90900,88950,89900,94900,95500,99100,105000,109900,98300,98400,99900,94900,99900,110000,105900,100900,99900,99900,97500,98900,99900,95500,88200,99900,99900,97450,87700,97000,110000,110500,105000,108000,110000,110000,109900,109000,109900,107400,99900,99000,104900,109900,113400,113900,114000,113900,113900,114900,115000,115000,115000,119500,119500,129400,124950,127500,128450,129900,131400,124900,120000,119500,119900,119500,114950,119900,119900,122950,124950,129900,127450,129000,119900,124900,114950,115000,117400,109900,114950,124900,124900,117950
1102,Coffee,GA,Douglas,13,69,1103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114900,119500,112000,105825,115000,122500,122500,124000,125000,125000,129500,129500,125000,129000,124250,116000,120000,132250,130950,124700,117000,115500,117000,124950,122400,129000,127500,128950,129450,132750,132500,132450,129500,129000,129250,120000,119900,118500,119900,119900,107625,107500,112500,119000,119000,125900,119000,125000,125000
1103,Preble,OH,,39,135,1104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102394,99900,99900,94900,99950,109900,111799.5,114900,111799.5,115000,115000,114900,115000,114894,112900,114900,114900,119900,119900,120000,119900,115000,109900,99900,99900,99450,99000,98900,105000,104500,104500,108000,104500,99900,102873.5,101450,104900,109000,110000,109900,109950,111000,118450,115700,114900,114000,110444,114900,114900,109950,109900,113700,110000,109950,114900,115000,119000,112000
1104,Kandiyohi,MN,Willmar,27,67,1105,152900,152900,166450,169916.5,168637.5,169900,174900,174900,173950,169888,175000,169000,159888,159894,169000,175000,174750,175000,169000,168500,164900,159000,149900,144900,139900,144900,150000,161000,164900,164950,162500,155000,159888,153000,154400,156400,154888,149888,150000,159000,163900,169694,172900,167000,164250,159900,159500,150000,144950,139900,144900,149900,149950,152950,153200,159000,159000,159700,159250,159500,154950,150000,159000,159000,159000,159000,157500,154200,150000,149900,149900,159000,154950,159000,159900,169500,159900,174794,169900,179500,178000,170000,170000,176200,169900,164450,184900,195450,199800,199900,199900,189250,184950
1105,De Kalb,IN,Auburn,18,33,1106,114000,112500,112500,110400,105950,94900,93900,99900,99900,102900,99900,90900,87700,87500,85250,94700,89000,89000,99000,89450,86750,75700,79000,69900,70000,72900,77500,84000,80900,82700,79800,79787.5,83000,79900,89900,89700,89500,86400,88300,88700,89900,89900,89900,89800,89700,85750,87900,88200,86900,85400,89900,90000,91875,103950,109900,113000,107500,112900,117500,117000,112950,115900,108000,112900,111400,114900,104900,102900,102900,105000,106990,114900,119900,114998.5,119900,119900,122900,129000,124448.5,129575,129575,121400,114900,112450,105950,116400,132900,143400,163100,154748.5,149900,142400,156950
1106,Pettis,MO,Sedalia,29,159,1107,99850,99500,96500,95000,96500,97000,99500,97500,99500,99999,107900,99500,94500,94900,97500,104850,99700,103750,104900,102500,90000,89900,89900,90000,94500,95900,96400,99949.5,99500,95000,95000,94000,95500,94500,95950,94500,94900,90000,97000,89900,89700,97250,99500,99400,99650,103900,99000,94950,93500,94875,96500,95000,99850,100000,99900,102950,103450,99900,99500,99950,99500,97500,92500,95000,93750,96500,94900,98000,98000,94900,92000,90000,90750,95000,89000,89900,89950,89950,94900,89900,89900,94900,99775,98750,99550,99950,110000,108475,108475,115000,111950,111250,114900
1107,Barren,KY,Glasgow,21,9,1108,139700,139500,135000,139250,138000,134900,134000,129900,128000,125250,128500,125000,124950,125000,124200,124900,127200,129950,132000,129500,132000,129500,128000,125750,128450,128450,129000,129900,129250,126500,125000,129000,127500,125000,124900,124900,127900,125000,129900,129900,129900,129500,127000,128000,128900,127500,125000,128250,129250,130000,129900,132500,129900,133000,129900,129900,134900,139500,139000,139000,139500,138250.5,128750,139900,139000,145000,148000,145000,139950,139000,135000,136750,139900,135000,132450,139000,139900,139900,148250,144200,141450,144700,145450,144500,139900,139900,144900,149900,147000,149900,149900,149950,145000
1108,Wyoming,NY,,36,121,1109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129000,119900,119900,115000,102000,96000,99000,92800,90700,90700,98450,99900,105000,109950,109900,102900,99250
1109,Greene,AR,Paragould,5,55,1110,115900,115950,99400,113950,116500,114900,115950,113450,110000,99800,102500,100000,99900,98900,98950,99500,99500,117300,119000,118500,118900,112450,109450,101000,106700,104400,115000,109900,115900,121900,121950,110900,117250,114950,115000,109900,109900,109900,114950,114900,110000,105000,115400,117000,119900,116250,110000,116000,115000,110000,109000,109500,119900,119600,115000,109900,114900,115500,115950,119900,115000,119900,119900,124900,127500,127500,126750,132250,129450,128000,124900,121750,117500,119900,122950,120000,124900,122900,125900,127000,125900,124900,124950,128900,129900,133500,133700,135900,139000,139900,137900,129900,132900
1110,Shelby,KY,Louisville/Jefferson County,21,211,1111,179250,175000,174900,176900,179900,180000,184950,188450,189500,183000,179900,174900,173000,174500,174950,175000,189900,184950,179900,178000,179137.5,176450,178200,169900,164900,169250,165900,174900,172900,174000,173190,174500,174000,174285,169900,165000,164027,169700,176405,184000,184277.5,189900,199000,200000,199000,189900,189900,189900,194900,192900,197500,199900,194900,209900,198000,210000,212325,219700,227250,224900,229700,230000,229900,214900,209080,199000,199000,198655,198649,197130,212250,207425,209900,186000,210000,219900,218999.5,224950,229500,236700,244700,241250,236750,241200,234500,238000,239500,239900,242500,237250,227000,236500,229900
1111,Avoyelles,LA,,22,9,1112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125000,114000,105000,109500,107000,119900,122400,126000,110000,126000,125000,125000,109000,115000,109950,115000,115000,115000,117000,125000,122450,109950,116900,120000,139450,134500,147000,139000,136500,135000,130000,129500,125000,120000,119900,118000,112000,120000,119000,117000,125000,120000,125000,120000,127375,127500,131000,130900,130900,129950,126500,125000,127750,125500,133350,127250,125000,135000,125000,113250,111000,112500,114950,120000
1112,Shenandoah,VA,,51,171,1113,199950,204500,199900,208000,204900,202000,204950,204250,199900,199000,199000,192400,185000,179900,175000,175000,179900,179900,179388.5,179777,179000,179500,179000,171000,175000,172500,172500,175000,177000,179900,179900,179900,179900,173950,184075,179700,179900,179900,181000,184900,189000,190000,187950,180450,187700,189000,184500,189900,199000,199900,199500,194900,199000,199000,189000,189999,196400,197750,189000,185000,184000,185000,185000,190000,199000,199900,199900,195000,195000,189900,189900,185000,185000,179000,185000,190000,190000,195000,199900,199900,204900,199900,199900,199900,199900,199000,199900,211246,208900,204900,210000,210000,215000
1113,Tioga,PA,,42,117,1114,,,,,,,,,,,,,,,,,175000,175000,189500,169000,162000,158450,159900,164400,164400,149900,159900,170000,179000,169450,169950,169000,167000,159900,154900,159700,159900,159900,165000,165000,171450,168000,164900,169000,177700,176250,176250,179900,179900,179000,162400,159950,159900,169900,172500,165000,159950,159900,159900,159992,159500,150000,150000,159990,159900,150000,150000,150000,150000,149900,149900,149900,149000,145000,145000,145900,149000,149500,148450,145000,145000,145000,142450,148450,145900,149900,154900,154950,154950,154900,149900,154900,155000
1114,Wood,TX,,48,499,1115,174000,174000,169900,170950,172000,175000,175000,172400,171000,169900,169900,159950,159900,152000,154950,159000,159000,155510.5,157500,156760.5,157500,149000,149000,149000,150000,157500,157500,149900,154900,149900,149900,149000,147000,147000,149250,154950,160950,165000,149900,158400,149900,154900,158000,154900,157500,159900,150750,155000,149900,149900,159900,159900,165000,165000,169900,169450,160000,159900,159900,158400,154950,154000,154900,169900,178000,176590,184900,189950,185000,189500,185000,189500,185500,186000,189900,179900,179999.5,172700,169000,169900,169900,169900,175000,175000,173900,175000,180000,174900,172400,177250,184900,175000,173000
1115,Shawano,WI,Shawano,55,115,1116,155150,149900,143000,139900,139900,139450,139900,129900,129900,129900,129900,129900,129900,129900,129900,129900,129900,126900,124900,124900,127000,129900,125000,119900,125000,125000,119900,119900,123000,119900,125000,125000,119900,122750,119900,119000,119900,119900,119900,119900,119900,119950,119900,123700,119500,119900,109900,109950,112000,114776,118900,119000,119900,128900,129900,129000,124900,125900,126900,124500,119900,124900,129000,129950,136000,136000,129900,134900,134900,139250,134999.5,134900,135000,129900,137500,134949.5,135000,130750,129900,129950,129900,129900,129900,129900,129900,129900,129900,129900,129950,126900,124900,129900,125450
1116,Dubois,IN,Jasper,18,37,1117,149900,149900,149900,149900,149900,152300,144900,141000,137700,137350,136700,129900,129900,129900,129900,132450,133900,135400,137700,140700,139900,141700,139900,137700,138750,137200,135000,137500,139900,135000,125000,119900,123900,122500,125000,125000,129900,129600,131900,136900,138950,139800,142350,149000,138250,147900,139900,135449.5,139500,139000,155000,155950,162400,164900,169000,164950,168900,164950,159900,164900,164900,172450,164950,159000,154450,152300,154850,155450,155450,154700,155900,156900,159000,151400,148900,149900,145400,139900,154900,158000,162000,158000,143500,156950,161250,164500,182033,179800,189800,184700,179800,174250,184450
