index,RegionName,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09
12,Washington,13,259900,259000,260000,257500,250000,250000,254300,250000,254950,239900,229950,224990,215000,212000,218000,214950,219000,219900,219900,220000,219900,214950,209500,199990,199950,205000,211900,214995,219000,219950,219850,215085,214900,209000,239000,235000,234950,239000,244000,249900,257500,260000,265000,264900,265000,265000,257900,255000,249900,250000,259950,269000,274950,279500,279900,279950,279900,275000,265000,249950,259900,269900,276800,284900,289900,292000,289950,295000,294894,292000,289950,286950,284950,285000,289950,299500,304950,314900,315000,315000,315000,316000,314900,309000,305950,315000,329006,338950,349000,350000,350000,350000,350000
13,Massachusetts,14,289900,304900,299900,299900,299900,299000,299000,299000,299900,299900,299000,289900,289900,299000,299900,299900,309000,309900,299900,299900,299500,290000,275900,269500,269900,269900,279900,289900,295000,295000,289900,284900,285000,289000,319900,315000,314900,324900,329900,339900,349000,349900,349000,339900,339900,339900,339900,335900,329900,344150,349000,349900,359000,354900,349900,349000,349000,349900,349900,342450,339900,344900,349900,358900,360000,365000,359900,359000,359900,359900,359900,350000,350000,359900,379000,389900,395000,398999.5,389900,385000,389900,394900,389900,384900,379900,389900,409900,422000,429000,429000,424900,419000,419900
14,Indiana,15,124900,125000,127000,126900,126500,125900,124900,124900,125000,124900,123500,119900,119800,119900,124900,125000,128799,129900,129900,127500,125000,124900,119900,114900,114000,114000,114900,116900,118500,118000,117500,115000,114500,112900,123000,120000,119900,123900,126500,129900,129900,131900,130000,129900,129900,129900,125000,124900,124900,125000,129900,134900,138300,139900,139900,138900,136000,134900,133000,129900,129900,133900,137000,139000,139900,139950,139900,138500,139000,135000,135000,130000,130000,130500,135000,139900,142900,144900,145000,142900,140000,140900,140000,139900,139900,140000,149900,159900,164900,165000,165900,164900,167000
15,Arizona,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214900,215000,215000,217900,220000,225000,227000,226787,225000,225000,226553,228875,224900,222500,227900,232900,237500,240000,245000,245000,239900,245000,245500,249000,249900,249000,249500,249000,249900,254000,255000,258000,255000,254900,255000,255000,255000,254900,255000,259900,260000,267000,269400,268900,269000,269000,269875
16,Tennessee,17,159900,159000,156900,155000,154900,154900,154900,154900,163900,159900,159400,154500,149900,149000,149900,154600,156900,155000,154945,154000,149900,149900,141500,134900,133900,133900,134900,139900,139900,139150,139900,139900,129900,132900,155000,154900,154900,158900,159900,164700,167900,169000,169000,166900,165900,165900,164900,164900,163000,164900,169000,169900,174900,174900,174900,174900,174000,173990,169950,169900,169900,174900,170000,176500,184000,185000,185000,184900,184900,179900,179900,179900,179900,179900,180000,189900,194900,195900,199900,199000,199000,199093.5,199000,199000,195000,199900,208000,214900,219900,222900,224950,224900,225000
17,Missouri,18,140000,141250,140000,139999,139900,139900,139900,139900,144900,142500,139900,137197,130500,130000,135000,139000,139900,139900,139900,139000,135900,134900,129900,128000,129900,126900,128500,129900,130000,129900,128900,127000,125000,125000,134900,129900,129900,132325,135000,139900,139950,139950,139900,139900,139900,139000,135000,134900,134900,135500,139900,141500,145500,145000,145000,143900,143000,140000,139900,138900,138500,139900,144900,149000,149900,149000,147900,145000,145000,144900,144900,139900,139900,142000,148900,153000,154900,155000,154900,152900,150000,151000,150000,149900,149900,150825,159500,164900,168600,169900,169900,169900,169900
18,Maryland,19,245000,246000,245000,249000,243900,239900,234900,229900,239800,237500,236900,225900,222000,222000,229000,230000,239000,239900,239900,239900,239000,235000,229500,228900,225000,229500,229950,225000,214800,239900,239900,239000,234500,234900,249000,239900,240000,245000,250000,259900,269000,272945,269999,269000,269900,269900,260000,268995,259000,259900,269000,275000,281236,284900,280000,279000,279000,274900,269000,259900,257000,259900,269000,274900,279632,279900,274900,275000,279898.5,274900,269900,264900,263000,260000,274900,285000,289900,289900,289000,284900,285000,289000,285000,275000,274900,279900,290790,299900,309000,307000,309000,300000,302900
19,Wisconsin,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149000,149900,152900,155000,159900,160000,164900,164900,162500,159900,159900,158500,155000,153000,154975,159900,161500,165000,169900,169900,169900,169000,167000,164900,159900,159900,164800,167500,169900,172900,174900,174900,174900,174900,172000,169900,169900,169900,169900,173900,178500,179900,184900,184900,184000,179900,179900,179900,178900,175000,179900,184900,189900,195000,199500,198500,197500,195000
20,Minnesota,21,169900,169900,169900,169900,169900,169900,164900,164900,179000,169900,169000,159900,154900,152500,156900,159500,159900,159800,158500,155900,154900,149000,139900,129900,129000,129000,129900,131500,130500,134900,134900,134900,135000,144500,162500,159900,159900,165900,169900,174900,179900,184800,184900,184900,184900,185000,179900,179900,174900,180000,189900,194900,199900,200000,200000,199900,199900,199900,199900,199000,199300,200000,214900,217500,220000,224900,224900,220000,220000,219900,219900,215512,219000,219900,229000,229900,229000,229900,229850,225000,225000,225000,225000,224900,219900,235000,240000,245900,249900,249900,249900,247900,249000
21,Colorado,22,248500,244000,240000,240000,244900,245000,245000,249900,249951,234900,220000,215000,215000,211925,217000,220000,229900,235000,239500,235000,229900,221100,212950,199900,200000,207000,210000,214000,219000,220000,220000,219990,216792.5,219000,254900,252000,254900,258000,261700,269900,275000,279000,282000,284985,289900,285000,285000,289900,289900,295000,299000,300000,306000,314950,314900,315000,317500,319000,320000,325000,334900,329900,334900,340000,345000,349000,350000,349950,350000,350000,350000,360000,369500,365700,369995,374900,375000,375000,375000,374900,375000,375000,375000,375000,377350,385000,390000,399000,399900,400000,406682.5,403900,408068
